Country,Year,Life expectancy,Death rate
Albania,1960,62.25436585,11.328
Albania,1961,63.27346341,10.72
Albania,1962,64.16285366,10.176
Albania,1963,64.88709756,9.708
Albania,1964,65.43819512,9.321
Albania,1965,65.82739024,9.01
Albania,1966,66.08931707,8.762
Albania,1967,66.28721951,8.555
Albania,1968,66.47495122,8.366
Albania,1969,66.68160976,8.184
Albania,1970,66.93258537,7.996
Albania,1971,67.23887805,7.797
Albania,1972,67.58595122,7.59
Albania,1973,67.95795122,7.381
Albania,1974,68.34834146,7.172
Albania,1975,68.74121951,6.969
Albania,1976,69.1155122,6.782
Albania,1977,69.45617073,6.619
Albania,1978,69.7542439,6.483
Albania,1979,70.00965854,6.376
Albania,1980,70.23597561,6.289
Albania,1981,70.45446341,6.213
Albania,1982,70.68512195,6.138
Albania,1983,70.93739024,6.06
Albania,1984,71.20653659,5.98
Albania,1985,71.47121951,5.907
Albania,1986,71.69756098,5.856
Albania,1987,71.86195122,5.838
Albania,1988,71.95329268,5.857
Albania,1989,71.97858537,5.911
Albania,1990,71.95878049,5.989
Albania,1991,71.92626829,6.078
Albania,1992,71.91797561,6.16
Albania,1993,71.96480488,6.223
Albania,1994,72.08073171,6.258
Albania,1995,72.27626829,6.258
Albania,1996,72.5514878,6.222
Albania,1997,72.88395122,6.157
Albania,1998,73.25063415,6.077
Albania,1999,73.63553659,5.993
Albania,2000,74.01402439,5.925
Albania,2001,74.36292683,5.892
Albania,2002,74.67065854,5.907
Albania,2003,74.93470732,5.973
Albania,2004,75.15709756,6.086
Albania,2005,75.35702439,6.231
Albania,2006,75.5612439,6.386
Albania,2007,75.79492683,6.527
Albania,2008,76.07265854,6.64
Albania,2009,76.39487805,6.72
Albania,2010,76.74790244,6.776
Albania,2011,77.10846341,6.822
Albania,2012,77.44826829,6.879
Albania,2013,77.74709756,6.963
Albania,2014,77.99839024,7.076
Albania,2015,78.20314634,7.217
Andorra,1960,68.58560976,
Andorra,1961,69.57731707,
Andorra,1962,69.3095122,
Andorra,1963,69.44365854,
Andorra,1964,69.92195122,
Andorra,1965,69.72219512,
Andorra,1966,70.04585366,
Andorra,1967,69.91780488,
Andorra,1968,70.05756098,
Andorra,1969,69.83317073,
Andorra,1970,69.91463415,
Andorra,1971,70.11463415,
Andorra,1972,70.46341463,
Andorra,1973,71.01463415,
Andorra,1974,71.01219512,
Andorra,1975,71.11463415,
Andorra,1976,71.56585366,
Andorra,1977,71.91463415,
Andorra,1978,72.01219512,
Andorra,1979,72.31219512,
Andorra,1980,72.46341463,
Andorra,1981,72.81219512,
Andorra,1982,72.96097561,
Andorra,1983,73.01219512,
Andorra,1984,73.61219512,
Andorra,1985,73.81463415,
Andorra,1986,74.31707317,
Andorra,1987,74.76829268,
Andorra,1988,75.21707317,
Andorra,1989,75.26585366,
Andorra,1990,75.56829268,
Andorra,1991,75.61707317,
Andorra,1992,75.81707317,
Andorra,1993,76.06829268,
Andorra,1994,76.4195122,
Andorra,1995,76.66829268,
Andorra,1996,76.87073171,
Andorra,1997,77.3195122,
Andorra,1998,77.67073171,
Andorra,1999,77.87560976,
Andorra,2000,78.12682927,
Andorra,2001,78.57560976,
Andorra,2002,78.67804878,
Andorra,2003,78.63170732,
Andorra,2004,79.1804878,3.8
Andorra,2005,79.33170732,3.6
Andorra,2006,79.8804878,3.3
Andorra,2007,80.1804878,2.8
Andorra,2008,80.43170732,2.8
Andorra,2009,80.33170732,3.2
Andorra,2010,80.5804878,2.8
Andorra,2011,80.98292683,
Andorra,2012,80.93658537,3.9
Andorra,2013,81.13658537,
Andorra,2014,81.4902439,
Andorra,2015,81.84390244,
Austria,1960,68.58560976,12.7
Austria,1961,69.57731707,12.1
Austria,1962,69.3095122,12.7
Austria,1963,69.44365854,12.8
Austria,1964,69.92195122,12.3
Austria,1965,69.72219512,13
Austria,1966,70.04585366,12.5
Austria,1967,69.91780488,12.9
Austria,1968,70.05756098,12.9
Austria,1969,69.83317073,13.3
Austria,1970,69.91463415,13.2
Austria,1971,70.11463415,13
Austria,1972,70.46341463,12.6
Austria,1973,71.01463415,12.2
Austria,1974,71.01219512,12.4
Austria,1975,71.11463415,12.7
Austria,1976,71.56585366,12.6
Austria,1977,71.91463415,12.2
Austria,1978,72.01219512,12.5
Austria,1979,72.31219512,12.2
Austria,1980,72.46341463,12.2
Austria,1981,72.81219512,12.2
Austria,1982,72.96097561,12.1
Austria,1983,73.01219512,12.3
Austria,1984,73.61219512,11.7
Austria,1985,73.81463415,11.8
Austria,1986,74.31707317,11.5
Austria,1987,74.76829268,11.2
Austria,1988,75.21707317,11
Austria,1989,75.26585366,10.9
Austria,1990,75.56829268,10.8
Austria,1991,75.61707317,10.8
Austria,1992,75.81707317,10.6
Austria,1993,76.06829268,10.4
Austria,1994,76.4195122,10.2
Austria,1995,76.66829268,10.2
Austria,1996,76.87073171,10.2
Austria,1997,77.3195122,10
Austria,1998,77.67073171,9.8
Austria,1999,77.87560976,9.8
Austria,2000,78.12682927,9.6
Austria,2001,78.57560976,9.3
Austria,2002,78.67804878,9.4
Austria,2003,78.63170732,9.5
Austria,2004,79.1804878,9.1
Austria,2005,79.33170732,9.1
Austria,2006,79.8804878,9
Austria,2007,80.1804878,9
Austria,2008,80.43170732,9
Austria,2009,80.33170732,9.3
Austria,2010,80.5804878,9.2
Austria,2011,80.98292683,9.1
Austria,2012,80.93658537,9.4
Austria,2013,81.13658537,9.4
Austria,2014,81.4902439,9.2
Austria,2015,81.84390244,9.6
Belgium,1960,69.70195122,12.4
Belgium,1961,70.52097561,11.6
Belgium,1962,70.2195122,12.2
Belgium,1963,70.05146341,12.6
Belgium,1964,70.75512195,11.7
Belgium,1965,70.62536585,12.2
Belgium,1966,70.70634146,12.1
Belgium,1967,71.01292683,12
Belgium,1968,70.69317073,12.7
Belgium,1969,70.76487805,12.5
Belgium,1970,70.97195122,12.3
Belgium,1971,71.0604878,12.4
Belgium,1972,71.40512195,12.1
Belgium,1973,71.63536585,12.1
Belgium,1974,71.98585366,11.9
Belgium,1975,71.97121951,12.2
Belgium,1976,72.1197561,12.1
Belgium,1977,72.77390244,11.5
Belgium,1978,72.69804878,11.7
Belgium,1979,73.19365854,11.4
Belgium,1980,73.20707317,11.5
Belgium,1981,73.62170732,11.4
Belgium,1982,73.88804878,11.4
Belgium,1983,73.86902439,11.6
Belgium,1984,74.40487805,11.2
Belgium,1985,74.5202439,11.3
Belgium,1986,74.73170732,11.3
Belgium,1987,75.36585366,10.7
Belgium,1988,75.56585366,10.6
Belgium,1989,75.63268293,10.8
Belgium,1990,76.05195122,10.4
Belgium,1991,76.19219512,10.4
Belgium,1992,76.35121951,10.4
Belgium,1993,76.34536585,10.6
Belgium,1994,76.69170732,10.3
Belgium,1995,76.84073171,10.3
Belgium,1996,77.18731707,10.3
Belgium,1997,77.37073171,10.2
Belgium,1998,77.47317073,10.3
Belgium,1999,77.6195122,10.3
Belgium,2000,77.72195122,10.2
Belgium,2001,77.97317073,10.1
